lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
lang_code	en	se	es	el	de	du	he	fr	fq	no	zh	zt	ru	hy	sk	id	gr	ei	pe	pt	pa	ar	da	tr	po	am	it	hi	ro	vi	hu	sq	cs	uk	bn	et	fa	li	si	ja	fi	ko	ka	bs	hr	sr	mr	so	mn	ta	ur	th	fp	bg	te	dd
lang_description	English (Standard)	Swedish	Spanish (Spain)	Spanish (Latin American)	German	Dutch	Hebrew	French (Standard)	French (Canadian)	Norwegian	Chinese (Simplified)	Chinese (Traditional)	Russian	Armenian	Slovak	Bahasa Indonesia	Greek	English (Indian)	Portuguese (European)	Portuguese (Brazilian)	Portuguese (Angolan)	Arabic	Danish	Turkish	Polish	Amharic	Italian	Hindi	Romanian	Vietnamese	Hungarian	Albanian	Czech	Ukrainian	Bengali	Estonian	Persian	Lithuanian	Sinhala	Japanese	Finnish	Korean	Georgian	Bosnian	Croatian	Serbian	Marathi	Somali	Mongolian	Tamil	Urdu	Thai	Filipino	Bulgarian	Telugu	dummy
lang_is_rtl	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
(DO NOT EDIT BELOW)	(DO NOT EDIT BELOW)	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO NOT EDIT BELOW)
cons_id	constant_name	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition
1	A	En	Un, Una	Un, Una	Ein	A	A	Un	Un		一	一				Sebuah	Ένα		Um	Um		ا	A	Bir	A		Un	एक	A	Một		nje	A	А	এ	A	یک	A		一つの	Yksi		A				एक	A	нэг	ஒரு		เอ	A			dummy
2	A check number or claim number to identify the payment	Ett betalningsnr för att identifiera betalningen	Un número de cheque o reclamación para identificar el pago	Un número de cheque o reclamación para identificar el pago	Schecknummer oder Reklamationsnummer ist erforderlich, um Zahlung zu identifizieren	Chequenummer of claimnummer om betaling te identificeren	מספר המחאה או מספר תביעה לזיהוי התשלום	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Et betalingsnummer til å identifisere betalingen	支票或索赔编号用于辨别付款	一個支票或申索號碼 用來查詢付款	Номер чека или приходного документа для идентификации оплаты	Գրանցման  կամ պահանջագրի համարը՝ վճարումը նույնականացնելու համար		Nomor cek atau nomor klaim untuk identifikasi pembayaran	Αρ. Επιταγής ή Αιτήματος αποζημίωσης, προς ταυτοποίηση πληρωμής		Número de cheque ou de crédito para identificar o pagamento	Um número do cheque ou do crédito para identificar o pagamento		رقم الإيصال أو المطالبة للتعريف بالدفع	Nummer, der identificerer betalingen	Ödemeyi tanımlamak için bir çek numarası veya talep numarası	Numer czeku lub rachunku do identyfikacji płatności		Numero assegno o identificativo pagamento	एक चेक नंबर या claim नंबर भुगतान की पहचान के लिए	Un numar de control sau un numar de identificare a platii	Số séc hoặc số yêu cầu để nhận biết việc thanh toán		Numer fature	Kontrola čísla nebo číla požadavku k identifikaci platby	Номер чеку та ідентифікаційний номер платежу	পেমেন্ট চেনার জন্য চেক নম্বর অথবা ক্লেম নম্বর	Tšeki või nõude number maksmise tuvastamiseks	شماره چک یا شماره پرونده برای پیگیری پرداخت	Reikalingas sąskaitos ar paraiškos numeris identifikuojant apmokėjimą		支払を識別するための小切手番号もしくは請求番号	Viitenumero		ჩეკის ნომერი				एक चेक नंबर किंवा दावा संख्या पैसे ओळखण्यासाठी	U hubso tirsiga ama tirsiga qaanta si aad u aqoonsato bixinta	Төлбөрийг ялгах дугаар	கட்டணம் கண்டறிய ஒரு காசோலை எண் அல்லது கூற்று எண்		หมายเลขสำหรับการตรวจสอบการชำระเงิน หรือหมายเลขเคลม	Isang numero ng tseke o numero ng paghahabol upang matukoy ang pagbabayad			dummy
3	A claim must be selected to enable this menu.		Debe escoger una reclamación para activar este menú	Una reclamación debe ser escogida para activar este menú 	Ein Anspruch muss ausgewählt werden, um dieses Menü zu aktivieren.	Selecteer claim om menu te activeren		Une réclamation doit être sélectionnée pour identifier le paiement.								Klaim harus dipilih untuk mengaktifkan menu ini.			Uma reclamação deve ser selecionada para habilitar este menu.	Uma reivindicação deve ser selecionada para ativar este menu.									Trebui selectat un drept pentru a permite acest meniu 	Phải chọn một yêu cầu để kích hoạt trình đơn này							برای فعال کردن این منو باید یک شماره پرونده انتخاب شود.																			dummy
4	A client certificate for the admin user	Klientcertifikat för admin användaren	Un certificado de cliente para el usuario administrador	Un certificado del cliente para el usuario de admin	Klienten Zertifikat für Administrator	Een certificaat voor de ADMIN gebruiker	אישור לקוח עבור משתמש מנהל המערכת	Un certificat client pour l\'administrateur	Un certificat du client pour l\'administrateur		管理员用户的客户端证书	一個管理員用戶的客戶端證書	Сертификат клиента для пользователя admin	Որպես ԱԴՄԻՆ օգտվող  հաճախորդի հավաստագիր		Sertifikat untuk pengguna admin	Ένα πιστοποιητικό πελάτη για τον Διαχειριστή		Certificado de cliente para o administrador do sistema	Um certificado cliente para o usuário administrador		شهادة عميل للمستخدم المشرف	Patient certificat til administrator	Yönetici kullanıcısı için bir müşteri sertifikası	Certifikat klienta dla użytkownika administracyjnego		Un certificato del Client per l\'utente admin	एक client certificate computer व्यवस्थापक के लिए	Un certificat de autentificare pentru administrator	Một giấy chứng nhận của máy khách cho người quản trị		Nje certifikate klienti per perdoruesin me te drejta administrimi	Klientský certifikát pro správce	Сертифікат клієнта для користувача admin	অ্যাডমিন এর জন্য ক্লায়েন্ট সার্টিফিকেট	Admin kasutaja kliendisertifikaat	گواهی کاربر برای کاربر مدیر	Kliento sertifikatas skirtas sistemos administratoriui		管理者のためのクライアント証明	Pääkäyttäjän käyttöoikeusvarmenne		კლიენტის სერტიფიკატი ადმინისთვის				प्रशासक वापरकर्ता एक क्लायंट प्रमाणपत्र	Cadeynta macmiilka ee mareynta isticmallaha	Админ хэрэглэгчийн сертификат	நிர்வாகி பயனருக்கு  வாடிக்கையாளர் (கிளையன்ட்) சான்றிதழ்		ใบรับรองอิเล็กทรอนิกส์สำหรับแอดมิน	Isang certificate ng kliyente para sa user na admin			dummy
5	A Clinical Decision Rule is patient specific information that is filtered and presented at appropriate times to enhance health and health care				Eine klinische Entscheidungsregel besteht aus patientenspezifischen Informationen, die gefiltert und zu geeigneten Zeiten angezeigt werden, um die Gesundheit und die Gesundheitsfürsorge zu verbessern												Ένας Κανόνας Κλινικής Αποφάσης αποτελεί πληροφορίες ειδικές για κάθε ασθενή που φιλτράρονται και εμφανίζονται την κατάλληλη στιγμή, προκειμένου να βελτιωθούν οι ιατρικές υπηρεσίες		Uma regra de decisão clínica consiste em informações específicas do paciente que são filtradas e apresentadas em momentos apropriados para melhorar a saúde e os cuidados de saúde	Uma Regra de Decisão Clínica é a informação específica do paciente que é filtrada e apresentada em momentos apropriados para melhorar a saúde e cuidados de saúde										Một Quy tắc Quyết định Lâm sàng là thông tin đặc trưng của bệnh nhân được lọc và trình bày tại những thời điểm thích hợp để nâng cao sức khỏe và sự chăm sóc sức khỏe 							یک قانون تصمیم بالینی اطلاعات مختص به بیمار است که برای بهبود سلامت و حفظ سلامتی فیلتر شده و در زمان مناسب ارائه میشود												Энэ төрлийн кодыг аль хэдийн сонгосон байна. Хэрэв та солих шаардлагатай бол эхлээд талбарыг арилгана уу.							dummy
6	A clinical document is attached		Adjunto está un documento clínico.	Adjunto está un documento clínico.	Ein klinisches Dokument befindet sich im Anhang.	Klinisch document is bijgevoegd	מצורף מסמך קליני	Un document clinique a été attaché	Un document clinique se trouve en attachement				Клинический документ прикреплен	Կցված է բժշկական/կլինիկական փաստաթուղթ		Dokumen klinis sudah dilampirkan	Προσετέθη ένα κλινικό έγγραφο.		Está anexado um documento clínico	Um documento clínico está anexado.		تم إرفاق وثيقة طبية	Et klinisk dokument er vedhæftet.	Bir klinik belge ekli	Dokument kliniczny w załączeniu.		Un documento clinico è allegato		Un document clinic este atasat.	Một tài liệu lâm sàng được đính kèm		Dokumenti i klinikës është bashkangjitur	Je připojen klinický dokument	Медичний документ приєднано	ক্লিনিকাল তথ্য লাগানো		یک سند بالینی پیوست شده است	Klinikinis dokumentas pridėtas.		医療文書が添付されます。	Kliininen asiakirja on liitteenä		კლინიკური დოკუმენტი მიმაგრებულია				एक क्लिनिकल दस्तऐवज संलग्न आहे	Waxaa ku lifaaqan waraaqaha rugta caafimaadka	Эмнэлзүйн баримт бичиг хавсаргагдсан байна	ஒரு மருத்துவ ஆவணம் இணைக்கப்பட்டுள்ளது		เอกสารการรักษาตามแนบ	Isang klinikal na dokumento ang naka attach			dummy
7	A clinical document is attached.	Ett klinikdokument är bifogat	Adjunto está un documento clínico.	Adjunto está un documento clínico.	Ein klinisches Dokument befindet sich im Anhang.	Klinisch document is bijgevoegd.	מצורף מסמך קליני.	Un document clinique a été attaché	Un document clinique est attaché.				Клинический документ прикреплен.	Բժշկական/կլինիկական փաստաթուղթ է կցված		Dokumen klinis sudah dilampirkan.	Προσετέθη ένα κλινικό έγγραφο.		Está anexado um documento clínico.	Um documento clínico está anexado.		تم إرفاق وثيقة طبية.	Et klinisk dokument er vedhæftet.	Bir klinik belge ekli	Dokument kliniczny w załączeniu.		Un documento clinico è allegato.	एक नैदानिक ​​दस्तावेज संलग्न है	Un document clinic este atasat	Một tài liệu lâm sàng được đính kèm.		Dokumenti i klinikës është bashkangjitur.	Je připojen klinický dokument	Медичний документ приєднано.	ক্লিনিকাল তথ্য লাগানো		یک سند بالینی پیوست شده است.	Klinikinis dokumentas pridėtas.		医療文書が添付されます。	Kliininen asiakirja on liitteenä.		კლინიკური დოკუმენტი მიმაგრებულია.				एक क्लिनिकल दस्तऐवज संलग्न आहे.	Waxaa ku lifaaqan waraaqaha rugta caafimaadka.	Эмнэлзүйн баримт бичиг хавсаргагдсан байна	ஒரு மருத்துவ ஆவணம் இணைக்கப்பட்டுள்ளது		เอกสารการรักษาตามแนบ	Ang isang klinikal na dokumento ay naka-attach.			dummy
8	A code of this type is already selected. Erase the field first if you need to replace it.		Un código de este tipo ya ha sido seleccionado. Elimínelo del campo si necesita reemplazarlo.	Un código del mismo tipo ya fue seleccionado. Elíminelo del campo para poder reemplazarlo.	Ein Code dieses Typs ist bereits ausgewählt. Löschen Sie zuerst das Feld, wenn Sie es ersetzen müssen.	Een code van dit type is al gekozen. Verwijder eerst het veld, als je deze wilt vervangen.	קוד מסוג זה כבר נבחר. מחק תחילה את השדה אם ברצונך להחליף אותו.	un code pour ce type a déja été selectionné. Veuillez supprimer le contenu du champ en premier afin de le remplacer.	Un code semblable est déjà sélectionné.  Veuillez supprimer le contenu champ en premier afin de la remplacer.				Код данного типа уже выбран. Очистите поле, чтобы заменить.	Նմանատիպ կոդ արդեն ընտրված է․ նախ մաքրեք դաշտը, եթե ցանկանում եք տեղափոխել այն		Kode dari tipe ini sudah dipilih. Silahkan hapus terlebih dahulu isian yang anda masukan untuk mengganti pilihan	Ένας κωδικός αυτού του τύπου έχει ήδη επιλεγεί. Σβήστε το πεδίο πρώτα, αν πρέπει να το αντικαταστήσετε.		Já está selecionado um código deste tipo. Se precisa de o substituir primeiro apague o campo	Um código deste tipo já foi selecionado. Se você precisar de substituí-lo, primeiro apague o campo				Bu tipte bir kod önceden seçildi. Değiştirmeniz gerekiyorsa öncekini silin.	Kod tego typu jest już wybrany. Najpierw usuń pole, jeśli chcesz je zastąpić.				Un cod al acestui tip este deja selectat. Stergeti campul daca doriti sa-l inlocuiti.	Đã chọn một mã cho kiểu này. Hãy xóa trường này trước nếu bạn cần thay thế nó.		Nje shifer e ketij lloji eshte zgjedhur. Fshije fushen se pari nese duhet ta ndryshoni.			এইরূপ কোড চয়ন করা আছে। যদি পাল্টাতে চান, ফিল্ড তা মুছে দিন।		قبلا یک کد از این نوع انتخاب شده است. برای جایگزینی آن ، ابتدا فیلد را پاک کنید			このタイプのコードが既に選択されています。あなたはそれを交換する必要がある場合は、最初のフィールドを消去します。			კოდი უკვე მონიშნულია. წაშალეთ ეს ველი, თუ შეცვლა გსურთ.						Энэ төрлийн кодыг сонгосон байна. Хэрэв үүнийг солих бол эхлээд талбарыг устгана.	இந்த வகை குறியீடு ஏற்கனவே தேர்ந்தெடுக்கப்பட்டுள்ளது. ௮தனை மாற்ற முதலில் ௮தனை அழிக்கவும்.		รหัสนี้ได้ถูกเลือกใช้แล้ว กรุณาลบข้อมูลเดิมเพื่อเปลี่ยนแปลง	Ang isang code ng ganitong uri ay napili na. Burahin muna ang field kung kailangan mo itong palitan.			dummy
9	A dated reminder message can be either forwarded by clicking the Forward button or removed from the dated reminders list by clicking on the Set As Completed button				Eine datierte Erinnerungsnachricht kann entweder durch Klicken auf die Schaltfläche Weiterleiten weitergeleitet oder durch Klicken auf die Schaltfläche Als erledigt festlegen aus der Liste der datierten Erinnerungen entfernt werden														Uma mensagem de lembrete com data pode ser encaminhada clicando no botão Encaminhar ou removida da lista de lembretes com data clicando no botão Definir como concluída	Uma mensagem de lembrete datada pode ser encaminhada clicando no botão Encaminhar ou removida da lista de lembretes datados clicando no botão Definir como Concluído										Một thông điệp nhắc nhở theo ngày có thể được chuyển tiếp bằng cách bấm vào nút Chuyển tiếp hoặc được bỏ khỏi danh sách nhắc nhở theo ngày bằng cách bấm vào nút Đánh dấu Đã Hoàn thành							یک پیام یادآوری تاریخ دار می تواند با کلیک کردن روی دکمه \"هدایت پیام\"به جا ی دیگری ارسال شود یا با کلیک بر روی دکمه \"تنظیم به عنوان تکمیل شده\" از لیست یادآوری های تاریخ دار حذف شود												Огноотой сануулах мессежийг \"Дамжуулах\" товчлуур дээр даран илгээгдэх эсвэл \"Дуусгах\" гэсэн товчин дээр даран сануулагчийн жагсаалтаас хасах боломжтой.							dummy
10	A dedicated security key needs to be purchased		Necesita adquirir una clave de seguridad privada		Es muss ein dedizierter Sicherheitsschlüssel erworben werden												Απαιτείται αγορά εξειδικευμένου κλειδιού ασφαλείας		Uma chave de segurança dedicada precisa ser adquirida	Uma chave de segurança dedicada precisa ser comprada										Cần phải mua một khóa bảo mật dành riêng							باید یک کلید امنیتی اختصاصی خریداری شود												Тусгай зориулалтын аюулгүй байдлын түлхүүр худалдан авах шаардлагатай							dummy
11	A default code is optional as the needed code can be entered at the time of placing the actual order		Un código por defecto es opcional, ya que el código necesario puede ser introducido en el momento de crear la orden		Ein Standardcode ist optional, da der erforderliche Code zum Zeitpunkt der Bestellung eingegeben werden kann														Um código padrão é opcional, pois o código necessário pode ser inserido no momento de fazer o pedido real	Um código padrão é opcional, pois o código necessário pode ser inserido no momento da colocação da ordem actual										Mã mặc định là tùy chọn do có thể nhập mã cần thiết vào thời điểm đặt hàng thực tế 							کد پیش فرض اختیاری است زیرا کد مورد نیاز می تواند در زمان ثبت سفارش واقعی وارد شود												Бодит кодыг байршуулах нь заавал байх ёстой бөгөөд учир нь бодит захиалгыг байрлуулах үед шаардлагатай кодыг оруулах боломжтой болно							dummy
12	A detailed guide on how to enable and setup a Clinical Decision rule is found here		Aquí puede encontrar una guía detallada acerca de cómo activar y establecer una regla de Decisión Clínica		Eine ausführliche Anleitung zum Aktivieren und Einrichten einer klinischen Entscheidungsregel finden Sie hier														Um guia detalhado sobre como habilitar e configurar uma regra de decisão clínica pode ser encontrado aqui	Um guia detalhado sobre como habilitar e configurar uma regra de Decisão Clínica é encontrado aqui										Có thể tìm ở đây hướng dẫn chi tiết cách kích hoạt và thiết lập Quy tắc Quyết định Lâm sàng							یک راهنمای دقیق در مورد چگونگی فعال کردن و تنظیم قانون تصمیم بالینی در اینجا یافت می شود												Эмнэлзүйн шийдвэрийн дүрмийг хэрхэн идэвхжүүлэх, тохируулах талаархи дэлгэрэнгүй зааврыг эндээс олж болно							dummy
13	A distributor is required	En distributör behövs	Se requiere un distribuidor	Se requiere un distribuidor	Ein Verteiler ist notwendig	Hiervoor is een distributeur nodig	נדרש מפיץ	Un distributeur est requis	Un distributeur est requis		需要一个分销商	需要一個經銷商	Специалист(распределитель) является обязательным	Պահանջվում է / անհրաժեշտ է ներկայացուցիչ		Dibutuhkan distributor	Απαιτείται ένας αντιπρόσωπος		É necessário um distribuidor	Um distribuidor é necessário		مطلوب موزع	En distributør skal anføres	Bir bayi gerekiyor	Wymagany jest dystybutor		E\' richiesto un distributore	एक वितरक की आवश्यकता है	Este necesar un distributor	Phải có nhà phân phối	van szukseg egy eloszto	Nevojitet nje distributor	Distributor je vyžadován	Вимагається дистрибютор	Distributor প্রয়োজন	Edasimüüja on vajalik	توزیع کننده ای مورد نیاز است	Platintojas privalomas		ディストリビューターが必要です。	Jakelija tarvitaan		დისტრიბუტორი აუცილებელია				एक वितरक आवश्यक आहे	Waxaa loo baahanyahay qeybiye.	Албан ёсны харилцагч шаардлагатай	ஒரு விநியோகி தேவை		ต้องการผู้กระจาย	Kinakailangan ang isang distributor			dummy
14	A due date can be specified or a specific time period can be chosen for the dated reminder to to show up				Es kann ein Fälligkeitsdatum angegeben oder ein bestimmter Zeitraum ausgewählt werden, in dem die datierte Erinnerung angezeigt werden soll														Uma data de vencimento pode ser especificada ou um período de tempo específico pode ser escolhido para que o lembrete com data apareça	Uma data de vencimento pode ser especificada ou um período de tempo específico pode ser escolhido para o lembrete datado para aparecer										Có thể chỉ định một ngày cuối hoặc chọn khoảng thời gian cụ thể để hiện nhắc nhở theo ngày 							می توان یک تاریخ سررسید مشخص کرد یا یک دوره زمانی خاص را برای نشان دادن یادآور تاریخ دار انتخاب کرد												Хугацаанд сануулахаар товлосон хугацааг зааж өгөх эсвэл тодорхой хугацааг сонгож болно							dummy
15	A few words to indicate the reason for the visit				Ein paar Worte, um den Grund für den Besuch anzugeben												Λίγα λόγια για την αιτία προσέλευσης		Algumas palavras para indicar o motivo da visita	Algumas palavras para indicar o motivo da visita										Một vài từ để chỉ ra lý do lần đến khám							چند کلمه برای نشان دادن دلیل بازدید												Айлчлалын шалтгааныг тодруулах хэдэн үгс							dummy
16	A followup appointment can also be scheduled right from the fee sheet.				Ein Folgetermin kann auch direkt über das Gebührenblatt vereinbart werden.												Ένα ραντεβού παρακολούθησης μπορεί επίσης να προγραμματιστεί μέσω του χρεωστικού δελτίου		Um compromisso de acompanhamento também pode ser agendado diretamente na folha de taxas.	A followup appointment can also be scheduled right from the fee sheet										Có thể lên kế hoạch cho một cuộc hẹn tiếp theo ngay tại bảng tính phí.							قرار ملاقات بعدی از طریق برگه هزینه نیز می تواند تعیین شود.												Дараагийн уулзалтыг төлбөр авах хуудаснаас шууд товлох боломжтой.							dummy
17	A GCAC visit form should be added to this visit.	Ett GCAC besöksformulär ska läggas till för detta besök	Formulario de visita GCAC debe ser agregado a esta visita	Formulario de visita GCAC debe ser agregado a esta visita	Ein GCAC Konsultationsformular sollte angefügt werden	Een CGAC visite formulier hoort bij dit bezoek.	met diverse opties voor toegankelijkheid 	Un formulaire de visite GCAC doit être ajouté à cette visite	Un formulaire de visite GCAC doit être ajouté à cette visite		本次门诊应添加一个GCAC门诊表格	一個GCAC參訪表格應該增加到這次的參訪	Для этого посещения необходимо добавить форму GCAC.	Այս այցի շրջանակներում պետք է ավելացնել GCAC մուտքի ձև		Formulir kunjungan CGAC harus ditambahkan pada kunjungan ini	Μια φόρμα επίσκεψης GCAC πρέπει να προστεθεί σε αυτήν την επίσκεψη.		Um formulário GCAC deve ser acrescentado a esta visita	Um formulário GCAC deve ser acrescentado a esta visita.		ينبغي اضافة استمارة الزيارة لهذه الزيارة		Bu kayda Jenerik Bağlantı Kabul Kontrol  vizit formunun eklenmesi gerekiyor.	Formularz GCAC powinien być dodany do tej wizyty		Si dovrebbe aggiungere un modulo GCAC a questa visita.	एक GCAC visit फार्म इस visit के लिए जोड़ा जाना चाहिए.	Un formular GCAC trebuie adaugat la aceasta vizita.	Phải thêm vào lần đến khám này một biểu mẫu đến khám GCAC.		Nje formular konsulte tek GCAC duhet shtuar tek kjo vizite	K návštěvě musí být připojen GCAC formulář	GCAC форма повина бути додана до цього відвідування.	GCAC ভিসিট ফর্ম এই ভিসিটে যোগ করতে হবে।	Selle visiidi jaoks peaks lisama GCAC vormi	یک فرم ملاقات GCAC باید به این ملاقات اضافه شود.	Prie šio vizito reikalinga pridėti GCAC formą		GCAC訪問フォームは今回の訪問で追加されました	GCAC vierailu lomake lisätään tämän vierailun.						एक GCAC भेट फॉर्म भेट जोडले पाहिजे.	Qaabeysanaha kulanka ee GCAC waa in lagu daraa la kulankan.	Энэхүү үзлэгт GCAC-ийн үзлэгийн маягтыг нэмж оруулах ёстой.			กรุณาเพิ่มแบบฟอร์ม GCAC สำหรับการเข้ารับการรักษาครั้งนี้	Ang isang pormularyo ng pagbisita ng GCAC ay dapat idagdag sa pagbisita na ito.			dummy
18	A HL7 v2.x message simply consists of several lines of text, each line is called a segment and is further divided into fields by using the pipe (|) character				Eine HL7 v2.x-Nachricht besteht einfach aus mehreren Textzeilen. Jede Zeile wird als Segment bezeichnet und mit dem Pipe-Zeichen (|) in Felder unterteilt														Uma mensagem HL7 v2.x consiste simplesmente em várias linhas de texto, cada linha é chamada de segmento e é dividida em campos usando o caractere barra vertical (|)	Uma mensagem HL7 v2.x consiste simplesmente em várias linhas de texto, cada linha é chamada de segmento e é mais dividida em campos usando o caractere pipe (|)	 																یک پیام HL7 نسخه 2.x به سادگی از چندین خط متن تشکیل شده است ، هر سطر را یک قطعه می نامند و با استفاده از کاراکتر خط عمودی \"|\" به بخشهای مختلف تقسیم می شود												HL7 v2.x мессеж нь хэд хэдэн текстээс бүрдэх бөгөөд мөр бүрийг сегмент гэж нэрлэдэг бөгөөд хоолой (|) тэмдэгтийг ашиглан талбаруудад хуваана.							dummy
19	A large application like openEMR is used by a multitude of users with varying roles and degrees of responsibility. It is imperative that access to various parts of the program be granted to users on a need to know basis. To achieve this - Access Control Lists (ACL) are used.			Una gran aplicación como OpenEMR es usada por una multitud de usuarios con variados roles y grados de responsabilidad. Es imperativo que el acceso a diferentes partes del programa sea garantizado para usuarios que conozcan los requisitos básicos. Para lograr esto se usan las Listas de control de acceso (ACL) 	Eine grosse Anwendung wie openEMR wird von einer Vielzahl von Benutzern mit unterschiedlichen Rollen und Verantwortungsgraden verwendet. Der Zugriff auf verschiedene Programmteile muss den Benutzern unbedingt auf der Grundlage von Kenntnissen gewährt werden. Zu diesem Zweck werden Zugriffssteuerungslisten (Access Control Lists, ACL) verwendet.	Een grote applicatie zoals openEMR die wordt gebruikt door een groot aantal USERS met verschillende rollen en verantwoordelijkheden. Dan is het is noodzakelijk dat de toegang tot de verschillende delen van het programma wordt verleend aan gebruikers op basis van noodzakelijke wensen. Om dit te bereiken, wordt ACL gebruikt.		Une application importante comme openEMR est utilisée par une multitude d\'utilisateurs avec des rôles et des degrés de responsabilité variés. Il est impératif que l\'accès aux différentes parties du programme soit accordé en fonction des besoins de chaque utilisateur. Pour ce faire il faut utiliser la liste de contrôle d\'accès (ACL).											Um grande aplicativo como openEMR é usado por uma infinidade de usuários com funções e graus de responsabilidade variados. É imperativo que o acesso a várias partes do programa seja concedido aos usuários com base na necessidade de conhecimento. Para conseguir isso - Listas de controle de acesso (ACL) são usadas.	Um grande aplicativo como openEMR é usado por uma infinidade de usuários com diferentes papéis e graus de responsabilidade. É imperativo que o acesso a várias partes do programa seja concedido aos usuários em uma necessidade para conhecer a base. Para conseguir isso - Listas de controle de acesso (LCA) são usadas.					Duża aplikacja, taka jak openEMR, jest używana przez wielu użytkowników o różnych rolach i stopniach odpowiedzialności. Konieczne jest, aby dostęp do różnych części programu był przyznawany użytkownikom w oparciu o potrzebne im informacje. Aby to osiągnąć, używa się list kontroli dostępu (ACL).				O aplicatie complexa precum openEMR este utilizata de o multitudine de utilizatori cu diferite roluri si grade de responsabilitate. Este imperativ necesar ca accesul la diferite parti ale programului sa fie acordat conform nevoilor. Pentru a realiza aceasta se utilizeaza Liste de Contol al Accesului (ACL- Access Control Lists)	Một ứng dụng lớn như OpenEMR được nhiều người dùng với những vai trò khác nhau và nhiều mức độ trách nhiệm. Cần thiết phải gán quyền truy nhập vào các thành phần khác nhau của chương trình cho người dùng tùy theo sự cần biết. Để làm điều đó, Danh sách Điều khiển Truy nhập (ACL) được dùng.							یک برنامه بزرگ مانند openEMR توسط بسیاری از کاربران با نقش و درجه مسئولیت های متفاوت مورد استفاده قرار می گیرد. ضروری است که دسترسی به قسمتهای مختلف برنامه بر اساس نیاز به کاربران به آنها داده شود. برای دستیابی به این هدف - از لیست های کنترل دسترسی (ACL) استفاده می شود.												OpenEMR гэх мэт том програмыг олон үүрэг, хариуцлагын түвшин бүхий олон хэрэглэгчид ашигладаг. Хөтөлбөрийн янз бүрийн хэсгүүдэд нэвтрэх боломжийг хэрэглэгчдэд мэдэх шаардлагатай байдаг. Үүнд хүрэхийн тулд Хандалтыг хянах жагсаалт (ACL) ашиглагддаг.							dummy
20	A lot number is required	Ett lot-nr krävs!	Un número de lote es requerido	Un número de lote es requerido	Eine Losnummer ist notwendig	Een lot # is vereist	נדרש מספר מנה	Un numéro de lot est requis	Un numéros de lot est requis		需要一个批号	需要很多的數字	Номер партии обязателен	Խմբաքանակի թիվը պարտադիր է		Butuh lebih banyak angka	Απαιτείται αριθμός παρτίδας		Falta o número de lote	Um número de lote é necessário		رقم الشحنة مطلوب	Det er nødvendigt med et serienummer	Bir parti numarası gerekiyor.	Wymagany jest numer serii		Si richiede il numero del lotto	एक lot नंबर की आवश्यकता है	Este necesar un numar de lot	Phải có số lô sản xuất		Numri i lotit nevojitet	Požadováno více čísel	Вимагається номер партії	লট নম্বর দরকার	Partiinumber on vajalik	شماره سری مورد نیاز است	Reikalingas partijos numeris		ロット番号が必要です	Eränumero tarvitaan		ლოტის ნომერი აუცილებელია				lot नंबर आवश्यक आहे	Tirsiga barxadan waa loo baahanyahay	Багцын дугаар шаардлагатай	ஒரு கிடங்கு ௭ன் தேவை		ต้องการหมายเลขประจำล๊อต	Ang maraming numero ay kinakailangan			dummy
