lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
6144	Modifying					Aanpassing											Γίνεται Τροποποίηση			Alterando									Modificand																											dummy
6145	ModLength		Longitud Modelo	Longitud Modelo	Mod-Länge	Lengte van Mod	ModLength				修改长度	中期長度	Дл.модиф.	Մոդ․ երկ․		Modifikasi Panjang	ΜήκοςΤροποποιητή			Comprimento Mod		ModLength		ModUzunluğu			ModLength	ModLength	ModLength	Độ dài BBĐ				Дов.модиф.													ModLength			ModLength						dummy
6146	Module			Mòdulo		Module	מודול							Մոդուլ						Módulo				Modül			Modulo		Modul			Moduli	Modul							モジュール	Moduuli						विभाग									dummy
6147	Module Directory not found			Directorio de mòdulos no hallado		Directorie voor Module niet gevonden	ספריית מודול לא נמצאה							Մոդուլի ուղեցույց չի գտնվել						Diretório de Módulo não encontrado				Modül Dizini Bulunamadı			Directory del modulo non trovata		Module Directory not found			Direktoriumi i Modulit nuk gjindet	Adresář modulů nenalezen							モジュールディレクトリがありません	Moduulihakemistoa ei löydy						विभाग निर्देशिका आढळले नाही									dummy
6148	Module Installer			Instalador de módulos		Module installer	מתקין מודול							Մոդուլի տեղադրիչ						Instalação de Módulos				Modül Kurucu			Installazione Modulo		Module Installer			Modul Instaluesi	Instalátor modulů							モジュールインストーラー	Moduulin asentaja						विभाग इंस्टॉलर									dummy
6149	Module Name			Nombre de mòdulo		Naam voor deze Module	שם מודול							Մոդուլի անվանում		Nama Modul				Nome do Módulo				Modül Adı			Nome Modulo		Nume modul			Emri i Modulit	Jméno modulu							モジュール名	Moduulin nimi						विभाग नाव									dummy
6150	Module name already exist			Nombre de mòdulo ya existe		Naam voor deze Module bestaat al	שם המודול כבר קיים							Մոդուլի անվանում արդեն գոյություն ունի		Nama modul sudah ada				O nome do Módulo já existe				Modül adı önceden var			Il nome del Modulo esiste già		Nume modul existent			Emri i Modulit ekziston	Jméno modulu již existuje							モジュール名は既に使われています	Moduulin nimi on jo olemassa						विभाग नाव आधीच अस्तित्वात									dummy
6151	Modules			Mòdulos		Modules gebruiken	מודולים							Մոդուլներ		Modul				Módulos				Modüller			Moduli		Modele			Modulet	Moduly							モジュール	Moduulit						मॉड्यूल									dummy
6152	Modules (modle)																			Módulos (modelo)																																				dummy
6153	Mon	Mån	Lun	Lun	Mo	Ma	שני	Lu.	Lu.	Man	一	星期一	Пн.	Երկ․		Senin	Δευτ		Seg	Seg		الأثنين	Man	Pzt	Pon		Lun	सोम	Luni	Thứ 2		Hen	Pon	Пон.			دوشنبه			月	Ma						सोम			सोम						dummy
6154	Mon thru Fri	Mån tills fredag	Lun a Vier	Lun a Vier	Mo bis Fr	Ma t/m vrij	שני עד שישי	Lu. à Ve.	Lu. à Ve.	Man til Fre	周一至周五	週一至週五	с Пн по Пт	Երկ ֊ Ուրբ		Senin sampai Jumat	Δευτ - Παρ		Seg a Sex	Seg à Sex		الأثنين الي الجمعه	Mandag til fredag	Pzt - Cum	Pon do Pt		Lun fino a Ven	सोम से शुक्र	Lu-Vi	Thứ 2 đến Thứ 6		Nga e Hen deri te Pre	Od Pon do Pá	з Пон по Пт						月から金	Ma – Pe						शुक्र गुंतवणूकदारांच्या सोम			सोम से शुक्र						dummy
6155	Mon, Wed &amp; Fri	Måndag, onsdag och fredag	Lunes, miércoles y viernes	Lunes, miércoles y viernes	Mo, Mi &amp; Fr	Ma, woe, vrij	שני, רביעי ושישי	Lu. Mer. &amp; Ve.	Lu. Mer. &amp; Ve.		Wed &amp; Fri	逢星期一，三，五	Пн, Ср &amp; Пт	Երկ․ Չրք․ &amp; Ուրբ․		Senin, Rabu & Jumat	Δευτ, Τετ &amp; Παρ		Seg, Qua &amp; Sex	Seg, Qua e Sex		الأثنين الأربعاء و الجمعه	Mandag, onsdag og fredag	Pzt, Çar, Cum			Lun, Mer &amp; Ven	सोम, बुध और शुक्र	Lu, Mi &amp; Vi	Thứ 2, Thứ 4 &amp; Thứ 6			Pon,Stře &amp; Pá	Пн, Ср &amp; Пт			دوشنبه، چهارشنبه و جمعه			月水金	Ma, Ke & Pe						सोम, बुध करा & amp; शुक्र			सोम, बुध और शुक्र						dummy
